number,value,params_alpha,params_beta,params_delta,params_gamma,state,user_attrs_avg_completed_makespan,user_attrs_failed_tasks,user_attrs_num_completed,user_attrs_num_failed,duration
16,10000000000,0.0780321621279821,5.2923954335435,12.0329547113106,0.03482310250571,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.654002
17,10000000000,0.0172496245879585,136.283404141548,2.98073522301259,9.31873257754682,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:05.844661
18,10000000000,0.0104121100074214,38.9027153086644,10.9351075206148,5.22318955830949,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.223622
19,10000000000,2.81595043618344,0.171859115046977,1.73803589287695,0.238965865831448,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.499415
20,10000000000,0.0255802468040313,0.133747491744361,13.3266528192254,0.23494756233525,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.527376
21,10000000000,7.35129565639665,10.7660761854935,13.2079926405678,0.0241396723038398,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.727455
22,10000000000,0.348286419505006,53.4156317746185,9.30050886454572,5.41004404187658,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.938699
23,10000000000,0.206131710993525,100.000874983589,13.7294365523571,0.0133067558608126,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.939753
24,10000000000,0.942043842212062,0.213241385196055,11.3632241103996,0.0147038254889243,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.889544
25,10000000000,0.812902627793306,7.02969395277041,14.2276393617563,0.0116473831455648,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.137027
26,10000000000,0.0168710899290957,0.18507741775827,11.7336283679713,0.0147856317631084,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.525088
27,10000000000,3.27619715808227,0.704673618985427,14.7465859670332,0.982591023520716,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.408375
28,10000000000,0.141332529413176,0.277572735993271,14.5891507379781,0.0289693431126849,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.370730
29,10000000000,0.553540807741078,53.954826365693,4.01048973749783,52.0003351951692,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.427014
30,10000000000,2.46779689792243,7.82411907073335,8.47311885725626,1.04713881054361,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.860423
31,10000000000,4.22308479469651,2.05654935727149,4.43015920393668,0.0198514199517926,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.066333
32,10000000000,13.6596037806104,0.26250342729907,1.47547101540955,0.0225087208579869,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:02:07.339778
33,10000000000,0.200729582752933,89.4977281894598,9.73958903579064,37.2369081707727,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.170489
34,10000000000,0.22856858329329,59.7158085845431,13.1644833515279,0.450403382462608,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.644182
35,10000000000,7.8904727936199,1.76796043591443,3.97618211919714,0.727833352624646,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.952736
36,10000000000,2.92821850177338,0.114843521065335,4.74731218521337,0.0112796235380046,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.589281
37,10000000000,3.95706740742772,70.3642250473637,8.37516484391366,0.0163881638243334,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.675394
38,10000000000,1.23918169994682,111.909828427864,2.89828688317788,1.99214909182608,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.505837
39,10000000000,0.124277440839523,13.7237143686213,6.04231754379516,3.73226716662719,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.557064
40,10000000000,0.908654460931352,24.0438052522644,13.0484268214146,0.0113695579113169,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.632443
41,10000000000,0.0207784742665837,4.67650728246888,0.963461989636255,0.752233477435947,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:05.738421
42,10000000000,0.0116526149466822,0.898960235073205,14.3189016674095,24.9955697759506,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.420918
43,10000000000,0.0691361722032419,88.4511819940288,7.60022614761575,0.490605362915751,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.988070
44,10000000000,0.198173962256507,11.6588208237737,2.51850045901469,0.545733864719912,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.490603
45,10000000000,0.066998547823026,2.18430223473504,3.0707492721201,0.0749081948473325,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.422523
46,10000000000,0.246925406414857,1.41118164484473,8.25268914011208,0.486822552980399,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.156251
47,10000000000,0.714212383478252,0.496115680001293,1.46797761006845,0.0440390607472012,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.900015
48,10000000000,0.0149918529702583,2.00623175305626,6.14763490790901,0.461838327244132,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.241783
